user;size;partido
RaulJalil_ok;4094;1
ArabelaCarreras;5022;4
ZiliottoSergio;5465;1
insfran_gildo;5509;1
gustavomelella;6643;3
GZamoraSDE;7844;3
QuintelaRicardo;8436;1
arcionimariano;14061;2
herrerayflia;17738;1
rodysuarez;18378;3
gustavovaldesok;19040;1
bordet;19973;1
JuanManzurOK;24336;1
sergiounac;27646;1
alberto_rsaa;28090;1
omarperotti;29665;1
GustavoSaenzOK;32420;5
OmarGutierrezOk;44016;6
JSchiaretti;55042;2
GerardoMorales;74404;3
jmcapitanich;251676;1
aliciakirchner;299536;1
alferdez;876320;1
Kicillofok;990682;1
horaciorlarreta;1486605;3